iter	Logloss
0	0.6750146277
1	0.6624909138
2	0.6508042811
3	0.6403868925
4	0.6335992364
5	0.6260317939
6	0.6154604952
7	0.6082450981
8	0.6024360987
9	0.5969399202
10	0.5908181354
11	0.5857360508
12	0.5795081466
13	0.5749988661
14	0.5710653731
15	0.5669605115
16	0.5641038612
17	0.5593874663
18	0.5559504393
19	0.5534983585
20	0.5495699894
21	0.5471800207
22	0.5454400231
23	0.5412264725
24	0.5383112237
25	0.5341025094
26	0.530568498
27	0.5276782512
28	0.5244961435
29	0.5216691032
30	0.5190967021
31	0.515800519
32	0.5129049641
33	0.5096373275
34	0.5065764146
35	0.503895265
36	0.5001950888
37	0.4977069593
38	0.4966487298
39	0.4943666859
40	0.4903344676
41	0.4872546101
42	0.485342989
43	0.4835837414
44	0.4809981668
45	0.4794248064
46	0.4769467273
47	0.4737508874
48	0.4725730048
49	0.4697454213
50	0.4682671623
51	0.4670386311
52	0.4654135648
53	0.4632639052
54	0.4596723241
55	0.4580693268
56	0.4563380593
57	0.4541826545
58	0.4501908465
59	0.4477321477
60	0.4457101004
61	0.4420158004
62	0.4395379836
63	0.4364023299
64	0.4350840401
65	0.4326761681
66	0.4297674927
67	0.4268590487
68	0.4239840531
69	0.4217716545
70	0.4198350428
71	0.4168941587
72	0.415124075
73	0.412929359
74	0.4107700497
75	0.4076207113
76	0.4063117844
77	0.4054739657
78	0.4041407897
79	0.4021642309
80	0.4007246309
81	0.3976844568
82	0.3960963564
83	0.3935697696
84	0.3929795244
85	0.38959243
86	0.3878505202
87	0.3852313521
88	0.3842404466
89	0.3827397561
90	0.3814112394
91	0.3803260675
92	0.3782911276
93	0.3759550515
94	0.3734783517
95	0.3723418473
96	0.3694854296
97	0.3666394823
98	0.3653738808
99	0.3629003833
