iter	Passed	Remaining
0	171	17011
1	174	8537
2	177	5728
3	180	4321
4	182	3475
5	185	2909
6	188	2506
7	191	2204
8	195	1973
9	198	1785
10	201	1631
11	205	1507
12	209	1400
13	212	1304
14	216	1224
15	219	1153
16	224	1093
17	227	1038
18	230	984
19	234	936
20	237	892
21	240	852
22	243	816
23	247	782
24	250	751
25	253	721
26	256	694
27	259	668
28	262	643
29	265	620
30	268	598
31	272	578
32	275	558
33	277	539
34	280	521
35	284	505
36	287	489
37	290	474
38	293	458
39	295	443
40	298	429
41	301	416
42	304	403
43	307	390
44	309	378
45	312	367
46	315	355
47	318	344
48	320	334
49	323	323
50	326	313
51	329	303
52	331	294
53	334	284
54	337	275
55	339	267
56	342	258
57	346	251
58	350	243
59	353	235
60	357	228
61	361	221
62	365	214
63	368	207
64	371	200
65	374	192
66	377	185
67	379	178
68	382	171
69	385	165
70	387	158
71	390	151
72	392	145
73	395	138
74	397	132
75	400	126
76	402	120
77	405	114
78	407	108
79	410	102
80	413	96
81	416	91
82	419	85
83	424	80
84	426	75
85	429	69
86	432	64
87	434	59
88	437	54
89	442	49
90	445	44
91	448	38
92	451	33
93	454	28
94	456	24
95	459	19
96	461	14
97	464	9
98	466	4
99	469	0
