area label,area long label,area,"KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population"
area label,area long label,area,12019,12019,12019,12019,12019,12019
area label,area long label,area,"Per 100,000 people","Per 100,000 people","Per 100,000 people","Per 100,000 people","Per 100,000 people","Per 100,000 people"
area label,area long label,area,raw,raw,raw,raw,raw,raw
area label,area long label,area,2011-13,2012-14,2013-15,2014-16,2015-17,2016-18
area label,area long label,area,threeyp_2011_13,threeyp_2012_14,threeyp_2013_15,threeyp_2014_16,threeyp_2015_17,threeyp_2016_18
Adur,Adur (District),E07000223,51.1,52.2,49.5,49.3,50.3,51.3
Allerdale,Allerdale (District),E07000026,48.5,42.6,45.9,48.6,51.8,60.3
Amber Valley,Amber Valley (District),E07000032,35.3,38.8,36,38.9,35.5,37.3
Arun,Arun (District),E07000224,44.4,45.5,45.3,44.1,44.7,46.4
Ashfield,Ashfield (District),E07000170,48.6,45,38.6,35.1,33.7,32.5
Ashford,Ashford (District),E07000105,49.9,58.1,52.2,55.6,54.6,56.2
Babergh,Babergh (District),E07000200,42,38.7,31.3,34.5,37.7,44.8
Barking and Dagenham,Barking and Dagenham (London borough),E09000002,24.7,22.6,19.3,18.5,26.3,37
Barnet,Barnet (London borough),E09000003,35.2,30.9,28.6,23.2,27.2,30.8
Barnsley,Barnsley (Metropolitan borough),E08000016,36.6,36.6,32.4,36.8,47.3,59
Barrow-in-Furness,Barrow-in-Furness (District),E07000027,20.4,25.5,27.1,37.9,37,43.7
Basildon,Basildon (District),E07000066,32.5,37,35.8,39,39.7,39.2
Basingstoke and Deane,Basingstoke and Deane (District),E07000084,48.6,51.3,51.7,52.6,46,42.4
Bassetlaw,Bassetlaw (District),E07000171,62.4,56,45.2,43.9,51.8,58.2
Bath and North East Somerset,Bath and North East Somerset (Unitary),E06000022,20.1,24.9,29.8,26.2,23.4,20.3
Bedford Borough,Bedford Borough (Unitary),E06000055,35.1,37.8,38.6,43.5,41.9,44.5
Bexley,Bexley (London borough),E09000004,19.2,15.5,11.8,14.4,18.6,25.6
