Area Code,Year,suicide_rates,crimes,population,population_density,unemployment,mean_income_support,n_is_claimants,house_sales,bankruptcy,processing,productivity,road_casualties,ofsted,infant_mortality,childhood_tooth_decay,gp_access,dental_access,mean_happiness_binary,Core City,Other City,Large Town,Medium Town,Small Town,Village or smaller,gardens_perc,income_support_rate,house_sales_pp,bankruptcy_pp,no_rainy_days,inflation,previous_period_happiness_change,Year_no_outliers,suicide_rates_no_outliers,crimes_no_outliers,population_no_outliers,population_density_no_outliers,unemployment_no_outliers,mean_income_support_no_outliers,n_is_claimants_no_outliers,house_sales_no_outliers,bankruptcy_no_outliers,processing_no_outliers,productivity_no_outliers,road_casualties_no_outliers,ofsted_no_outliers,infant_mortality_no_outliers,childhood_tooth_decay_no_outliers,gp_access_no_outliers,dental_access_no_outliers,Core City_no_outliers,Other City_no_outliers,Large Town_no_outliers,Medium Town_no_outliers,Small Town_no_outliers,Village or smaller_no_outliers,gardens_perc_no_outliers,income_support_rate_no_outliers,house_sales_pp_no_outliers,bankruptcy_pp_no_outliers,no_rainy_days_no_outliers,inflation_no_outliers,previous_period_happiness_change_no_outliers
E06000047,0.0,-20.0,-7.740239039585418,1267.0,0.569211566504805,1.1999999999999993,-3.509999999999991,,163.0,-87.0,,-0.8499999999999943,,,-0.0006130396592905,13.400000000000006,,,0.0,0.0,0.0,0.0637756323459282,34.31377994151028,23.018598353324663,42.60384607281913,0.941,,0.1286503551696922,-0.0686661404893449,15.700000000000015,-1.28287765,,,-20.0,-7.740239039585418,1267.0,0.569211566504805,1.1999999999999993,-3.509999999999991,,163.0,-87.0,,-0.8499999999999943,,,-0.0006130396592905,13.400000000000006,,,,,0.0637756323459282,34.31377994151028,23.018598353324663,42.60384607281913,0.941,,0.1286503551696922,-0.0686661404893449,15.700000000000015,,
E06000005,0.0,-3.0,-12.366512263468564,-81.0,-0.4101768419218388,0.8012664700000016,-3.0,-732.0,90.0,-10.0,,0.3800000000000096,,0.0,-0.0024165367968294,,,,0.0,0.0,0.0,87.45432860685686,0.0,0.0,12.545671393143138,0.948,9.037037037037036,-1.1111111111111112,0.1234567901234567,15.700000000000015,-1.28287765,,,-3.0,-12.366512263468564,-81.0,-0.4101768419218388,0.8012664700000016,-3.0,-732.0,90.0,-10.0,,0.3800000000000096,,0.0,-0.0024165367968294,,,,,,87.45432860685686,,,12.545671393143138,0.948,9.037037037037036,-1.1111111111111112,0.1234567901234567,15.700000000000015,,
E06000001,0.0,0.0,-7.812996061678419,173.0,1.8460717620381504,-0.7495958700000003,-3.4099999999999966,-1012.0,70.0,-7.0,,0.7199999999999989,,,0.0001238535255127,38.39999999999998,,,0.0,0.0,0.0,96.5426592111359,0.0,0.0,3.457340788864109,0.941,-5.84971098265896,0.4046242774566474,-0.0404624277456647,15.700000000000015,-1.28287765,,,0.0,-7.812996061678419,173.0,1.8460717620381504,-0.7495958700000003,-3.4099999999999966,-1012.0,70.0,-7.0,,0.7199999999999989,,,0.0001238535255127,38.39999999999998,,,,,96.5426592111359,,,3.457340788864109,0.941,-5.84971098265896,0.4046242774566474,-0.0404624277456647,15.700000000000015,,
E06000002,0.0,-1.0,-10.816688191360726,358.0,6.644197648176942,-0.0838031699999994,-3.569999999999993,-1699.0,174.0,-24.0,,0.2100000000000079,,0.0,-0.0016261197214498,72.5,,,1.0,0.0,99.25212609866236,0.0,0.0,0.0,0.7478739013376259,0.946,-4.745810055865922,0.4860335195530726,-0.0670391061452514,15.700000000000015,-1.28287765,,,-1.0,-10.816688191360726,358.0,6.644197648176942,-0.0838031699999994,-3.569999999999993,-1699.0,174.0,-24.0,,0.2100000000000079,,0.0,-0.0016261197214498,72.5,,,,99.25212609866236,,,,0.7478739013376259,0.946,-4.745810055865922,0.4860335195530726,-0.0670391061452514,15.700000000000015,,
E06000057,0.0,1.0,-2.7276728575220446,211.0,0.042033305159066,-0.2000000000000001,-2.759999999999991,-1445.0,-125.0,-44.0,,0.9599999999999936,,-0.1102941176470588,,-78.99999999999994,,,1.0,0.0,0.0,0.0,29.4067759064816,32.12637894696869,38.46684514654971,0.928,-6.848341232227488,-0.5924170616113744,-0.2085308056872037,15.700000000000015,-1.28287765,,,1.0,-2.7276728575220446,211.0,0.042033305159066,-0.2000000000000001,-2.759999999999991,-1445.0,-125.0,-44.0,,0.9599999999999936,,-0.1102941176470588,,-78.99999999999994,,,,,,29.4067759064816,32.12637894696869,38.46684514654971,0.928,-6.848341232227488,-0.5924170616113744,-0.2085308056872037,15.700000000000015,,
E06000003,0.0,-3.0,-10.151048407281856,-188.0,-0.7671283854640478,-0.3263037400000002,-3.1500000000000057,-1046.0,139.0,-11.0,,-2.25,,0.25,0.0031579336885731,211.80000000000007,,,0.0,0.0,27.530205902336714,0.0,27.63581578092228,18.555581814422027,26.278396502318984,0.947,5.5638297872340425,-0.7393617021276596,0.0585106382978723,15.700000000000015,-1.28287765,,,-3.0,-10.151048407281856,-188.0,-0.7671283854640478,-0.3263037400000002,-3.1500000000000057,-1046.0,139.0,-11.0,,-2.25,,0.25,0.0031579336885731,211.80000000000007,,,,27.530205902336714,,27.63581578092228,18.555581814422027,26.278396502318984,0.947,5.5638297872340425,-0.7393617021276596,0.0585106382978723,15.700000000000015,,
E06000004,0.0,-3.0,-2.5532688414352407,663.0,3.235202122058354,0.9451255900000016,-2.1899999999999977,-1445.0,116.0,-61.0,,-0.9599999999999936,,0.0749999999999999,-0.0008385196830045,137.79999999999995,,,1.0,0.0,0.0,42.88868106765603,31.07251087228704,21.13388627408895,4.904921785967979,0.944,-2.1794871794871797,0.1749622926093514,-0.0920060331825037,15.700000000000015,-1.28287765,,,-3.0,-2.5532688414352407,663.0,3.235202122058354,0.9451255900000016,-2.1899999999999977,-1445.0,116.0,-61.0,,-0.9599999999999936,,0.0749999999999999,-0.0008385196830045,137.79999999999995,,,,,42.88868106765603,31.07251087228704,21.13388627408895,4.904921785967979,0.944,-2.1794871794871797,0.1749622926093514,-0.0920060331825037,15.700000000000015,,
E08000037,0.0,1.0,-4.589350350011863,-77.0,-0.5408849298921723,0.9193630499999994,-2.4299999999999926,-1723.0,39.0,-54.0,,-0.3600000000000136,,0.2333333333333331,,-118.60000000000002,,,1.0,0.0,0.0,60.20427397912616,6.689749593237828,23.551529822612007,9.554446605024008,0.914,22.376623376623375,-0.5064935064935064,0.7012987012987013,15.700000000000015,-1.28287765,,,1.0,-4.589350350011863,-77.0,-0.5408849298921723,0.9193630499999994,-2.4299999999999926,-1723.0,39.0,-54.0,,-0.3600000000000136,,0.2333333333333331,,-118.60000000000002,,,,,60.20427397912616,6.689749593237828,23.551529822612007,9.554446605024008,0.914,22.376623376623375,-0.5064935064935064,0.7012987012987013,15.700000000000015,,
E08000021,0.0,-2.0,-6.5981544792606,2801.0,24.687941249575037,0.2484161,-2.230000000000004,-2533.0,355.0,-50.0,,0.6600000000000108,,0.0999999999999998,0.0023221634332745,-133.60000000000002,,,0.0,94.7726306842329,0.0,0.0,0.0,0.6668285673810536,4.560540748386052,0.862,-0.9043198857550876,0.1267404498393431,-0.017850767583006,15.700000000000015,-1.28287765,,,-2.0,-6.5981544792606,2801.0,24.687941249575037,0.2484161,-2.230000000000004,-2533.0,355.0,-50.0,,0.6600000000000108,,0.0999999999999998,0.0023221634332745,-133.60000000000002,,,94.7726306842329,,,,0.6668285673810536,4.560540748386052,0.862,-0.9043198857550876,0.1267404498393431,-0.017850767583006,15.700000000000015,,
E08000022,0.0,2.0,-2.4099774878336504,238.0,2.8913707162460014,0.0724192999999999,-1.4499999999999886,-1174.0,229.0,-49.0,,-1.5699999999999932,,-0.1785714285714286,-0.0003188102540154,-172.4000000000001,,,1.0,0.8499461405657454,0.0,33.54631173545427,58.61185301047185,3.607844294588972,3.3840448189191714,0.944,-4.932773109243698,0.96218487394958,-0.2058823529411764,15.700000000000015,-1.28287765,,,2.0,-2.4099774878336504,238.0,2.8913707162460014,0.0724192999999999,-1.4499999999999886,-1174.0,229.0,-49.0,,-1.5699999999999932,,-0.1785714285714286,-0.0003188102540154,-172.4000000000001,,,0.8499461405657454,,33.54631173545427,58.61185301047185,3.607844294588972,3.3840448189191714,0.944,-4.932773109243698,0.96218487394958,-0.2058823529411764,15.700000000000015,,
E08000023,0.0,-2.0,-2.4831723612842325,147.0,2.281882320069144,0.8631152799999988,-2.6499999999999915,-1491.0,135.0,-57.0,,0.7999999999999972,,-0.0416666666666667,0.0005862578996907,-12.0,,,0.0,0.0,0.0,50.91956792354336,29.01323803022394,13.21125968758784,6.855934358644876,0.965,-10.142857142857142,0.9183673469387756,-0.3877551020408163,15.700000000000015,-1.28287765,,,-2.0,-2.4831723612842325,147.0,2.281882320069144,0.8631152799999988,-2.6499999999999915,-1491.0,135.0,-57.0,,0.7999999999999972,,-0.0416666666666667,0.0005862578996907,-12.0,,,,,50.91956792354336,29.01323803022394,13.21125968758784,6.855934358644876,,-10.142857142857142,0.9183673469387756,-0.3877551020408163,15.700000000000015,,
E08000024,0.0,3.0,-11.746084290258182,434.0,3.157821975967181,-2.424673200000001,-3.480000000000004,-2438.0,211.0,-78.0,,1.2999999999999972,,0.9473684210526316,0.0001159333532874,-99.09999999999997,,,0.0,0.0,63.17230412790238,24.041055971679583,0.0,9.626135946640188,3.1605039537778543,0.94,-5.617511520737327,0.4861751152073733,-0.1797235023041474,15.700000000000015,-1.28287765,,,3.0,-11.746084290258182,434.0,3.157821975967181,-2.424673200000001,-3.480000000000004,-2438.0,211.0,-78.0,,1.2999999999999972,,0.9473684210526316,0.0001159333532874,-99.09999999999997,,,,63.17230412790238,24.041055971679583,,9.626135946640188,3.1605039537778543,0.94,-5.617511520737327,0.4861751152073733,-0.1797235023041474,15.700000000000015,,
E06000008,0.0,-7.0,-6.3593951266175,197.0,1.4377242795139864,0.5670089699999998,-5.640000000000001,-1630.0,-177.0,-38.0,,-0.4300000000000068,,0.0,-0.0016330316070633,-76.29999999999995,,,1.0,0.0,0.0,76.66220103502914,18.66180660868146,0.0,4.675992356289401,0.946,-8.274111675126903,-0.8984771573604061,-0.1928934010152284,15.700000000000015,-1.28287765,,,-7.0,-6.3593951266175,197.0,1.4377242795139864,0.5670089699999998,-5.640000000000001,-1630.0,-177.0,-38.0,,-0.4300000000000068,,0.0,-0.0016330316070633,-76.29999999999995,,,,,76.66220103502914,18.66180660868146,,4.675992356289401,0.946,-8.274111675126903,-0.8984771573604061,-0.1928934010152284,15.700000000000015,,
E06000009,0.0,3.0,-7.105549589513373,-43.0,-1.2331198793262956,-0.7497073300000014,-3.190000000000012,-1721.0,259.0,-23.0,,0.2800000000000011,,0.0,-7.977987267783569e-05,181.0999999999999,,,1.0,0.0,0.0,99.43029562843492,0.0,0.1839146521067567,0.3857897194583138,0.911,40.02325581395349,-6.023255813953488,0.5348837209302325,15.700000000000015,-1.28287765,,,3.0,-7.105549589513373,-43.0,-1.2331198793262956,-0.7497073300000014,-3.190000000000012,-1721.0,259.0,-23.0,,0.2800000000000011,,0.0,-7.977987267783569e-05,181.0999999999999,,,,,99.43029562843492,,0.1839146521067567,0.3857897194583138,0.911,40.02325581395349,-6.023255813953488,0.5348837209302325,15.700000000000015,,
