Year,suicide_rates,crimes,population,population_density,unemployment,mean_income_support,n_is_claimants,house_sales,bankruptcy,processing,productivity,road_casualties,ofsted,infant_mortality,childhood_tooth_decay,gp_access,dental_access,Core City,Other City,Large Town,Medium Town,Small Town,Village or smaller,gardens_perc,income_support_rate,house_sales_pp,bankruptcy_pp,no_rainy_days,inflation,previous_period_happiness_change,Year_no_outliers,suicide_rates_no_outliers,crimes_no_outliers,population_no_outliers,population_density_no_outliers,unemployment_no_outliers,mean_income_support_no_outliers,n_is_claimants_no_outliers,house_sales_no_outliers,bankruptcy_no_outliers,processing_no_outliers,productivity_no_outliers,road_casualties_no_outliers,ofsted_no_outliers,infant_mortality_no_outliers,childhood_tooth_decay_no_outliers,gp_access_no_outliers,dental_access_no_outliers,Core City_no_outliers,Other City_no_outliers,Large Town_no_outliers,Medium Town_no_outliers,Small Town_no_outliers,Village or smaller_no_outliers,gardens_perc_no_outliers,income_support_rate_no_outliers,house_sales_pp_no_outliers,bankruptcy_pp_no_outliers,no_rainy_days_no_outliers,inflation_no_outliers,previous_period_happiness_change_no_outliers
0.875,0.5869565217391305,0.679560129358709,0.2886603266487492,0.36171980668049136,0.5884434725989145,0.48928024502297107,0.9364724984777756,0.3093816631130064,0.7317073170731707,0.5060240963855422,0.3965378421900164,,0.2697653223969012,0.5252563354338693,0.3776853776853777,,,1.0,0.0,0.0,0.0,0.0,0.0,0.902575587905935,0.44840753502428654,0.7866755305929718,0.5374464245431988,0.7855670103092782,0.2570927969789797,0.5198237885462554,0.9999999999999999,0.45588235294117646,0.5612686225665655,0.25416821044831417,0.2793876934793471,0.553154291763669,0.5959079283887478,0.929088785046729,0.3723907598107431,0.7388888888888889,0.5945945945945946,0.44266399599399087,,0.25665219852802407,0.5302907824262258,0.43644451767031883,,,,,,,,,0.7746478873239437,0.24465087824662957,0.6127011010571473,0.4127834309119299,0.9466666666666661,0.30655946227646386,0.4949494949494951
0.125,0.46376811594202905,0.663003780263135,0.38019433533181723,0.45990018801122134,0.583196637434796,0.20865237366003025,0.7290440430282119,0.3699360341151386,0.6829268292682927,0.5421686746987953,0.33212560386473433,,0.4268012689065319,0.5264264583254614,0.4096327096327096,0.5721925133689832,,1.0,0.0,0.0,0.0,0.0,0.0,0.8611422172452408,0.44683908103528736,0.7882680507122969,0.5375291375291377,0.0,0.35354277339529155,0.5154185022026432,0.0,0.20588235294117646,0.5200040863836223,0.38540200074101516,0.4050590553079726,0.5473367217178613,0.22097186700767302,0.690303738317757,0.4514333426106318,0.6833333333333335,0.6756756756756757,0.3625438157235849,,0.42574070579354584,0.5316592333945902,0.47442128676167716,0.5674157303370778,,,,,,,,0.6704225352112674,0.24162462058537887,0.6158274744821325,0.4129154591964509,,0.4650602294906102,0.48989898989899017
0.875,0.572463768115942,0.6854115355413917,0.2856626007856109,0.3373557024430487,0.6521974730379547,0.49310872894333835,0.9813273797442663,0.3603411513859275,0.8195121951219513,0.5180722891566266,0.4581320450885672,,,0.5601887500191135,0.3927234927234927,,,0.0,0.0,0.005568057434614418,0.739674099323548,0.10294844647848546,0.24390675033483128,0.921612541993281,0.44961272857923984,0.788161549043528,0.5395217340087173,0.7855670103092782,0.2570927969789797,0.43612334801762087,0.9999999999999999,0.4264705882352941,0.5758524876900034,0.249870322341608,0.2482015224973889,0.6238432598088262,0.6010230179028141,0.9807242990654206,0.4389089897021987,0.838888888888889,0.6216216216216217,0.5192789183775662,,,0.5711440098179563,0.45432078424911443,,,,,0.005007689733889931,0.7497510328833825,0.11876888257192213,0.28579267448126533,0.8225352112676056,0.2469762421110134,0.6156183945572289,0.4160960854542923,0.9466666666666661,0.30655946227646386,0.39898989898989895
0.25,0.6739130434782609,0.6738941216130052,0.4995348356419268,0.40805206051490306,0.6611165136144799,0.23545176110260313,0.8825857519788919,0.5004264392324094,0.7463414634146341,0.4578313253012049,0.44363929146537884,0.44844318641326303,0.6031607945483544,0.4950075866638434,0.38995148995149,0.5561497326203211,0.4846938775510202,0.9993654214249269,0.0,0.0,0.0007124662689475819,0.0,0.0,0.815229563269877,0.4492178669747979,0.7891645599571602,0.5382919798790483,1.0,0.1561784612973196,0.6519823788546254,0.16666666666666666,0.6323529411764706,0.5471468388154646,0.5565024082993701,0.3386932019428553,0.6337324866803271,0.2567774936061386,0.8670560747663552,0.6217645421653215,0.7555555555555556,0.4864864864864865,0.501251877816725,0.44214487300094074,0.6156358832712863,0.49491507117094974,0.4510256199027927,0.5505617977528091,0.5562499999999995,1.0,,,0.0,,,0.5549295774647887,0.24621437535307378,0.6175874664874967,0.4141331249072882,,0.14072220422044313,0.6464646464646465
0.5,0.5507246376811594,,0.26829646475087865,0.33802965732835066,0.5933889814213509,0.5313935681470137,0.9940125837223462,0.36929637526652453,0.8,0.48192771084337355,0.009661835748792702,0.47674888799029497,,0.6206861174759029,,0.6363636363636366,0.47448979591836776,0.16923808244375782,0.0,0.06725294257458483,0.40399074536564555,0.12403702944071256,0.2931827341400655,0.948488241881299,0.44997130318081585,0.7885374803424777,0.5392545598731167,0.24742268041237114,0.6790612497826604,0.5418502202643171,0.5,0.38235294117647056,,0.22497221193034456,0.24906418800244168,0.5586377580984682,0.652173913043479,0.9953271028037384,0.45059838575006955,0.8166666666666668,0.5405405405405406,,0.47507055503292567,,0.6418952801969952,,0.6348314606741574,0.5437500000000002,0.16822256739110678,,0.06679898151671046,0.4091664475763678,0.14329097427118792,0.34355747696006134,0.8901408450704229,0.24766809481613594,0.6163564082302712,0.41566961623194043,0.07666666666666694,1.0,0.5202020202020202
0.875,0.6666666666666667,0.6765011940401715,0.21418234442836467,0.3325260820112538,0.6343054173675364,0.4429555895865236,0.9753399634666126,0.3140724946695096,0.6975609756097562,0.5180722891566266,0.4363929146537843,,0.38277511961722477,0.5600109416743395,,,,0.0,0.16024917589599394,0.0,0.4801656160121669,0.003213555890624535,0.40921466235645926,0.9283314669652856,0.4590792213228379,0.8115782522562184,0.5704295704295705,0.7855670103092782,0.2570927969789797,0.6255506607929516,0.9999999999999999,0.6176470588235294,0.5536446260921969,0.14738792145238977,0.24201958504152926,0.6040049603634806,0.5340153452685428,0.9738317757009346,0.37851377678819925,0.7000000000000001,0.6216216216216217,0.49223835753630407,,0.378335535006605,0.5709360641369193,,,,,0.16001577261026678,,0.4864535290597545,0.0027957924410011944,0.47957833128021093,0.8394366197183099,0.26524139135442065,0.6615891535677632,0.46543185268096715,0.9466666666666661,0.30655946227646386,0.6161616161616164
0.625,0.5652173913043479,,0.23924953483564193,0.502312794777963,,0.6010719754977025,0.993809620458697,0.33539445628997866,0.775609756097561,0.4759036144578314,0.09017713365539493,0.32713303679741157,,,,0.4491978609625671,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4499421367542413,0.7857884679295447,0.5384615384615385,0.6742268041237117,0.9999999999999998,,0.6666666666666666,0.4117647058823529,,0.18332715820674325,0.4593473966123683,,0.7452685421994889,0.9950934579439252,0.40634567214027273,0.788888888888889,0.5270270270270271,0.06159238858287447,0.30103480714957653,,,,0.4382022471910114,,,,,,,,,0.24761181957791298,0.6109596542122494,0.4144037780401416,0.7666666666666669,,
0.625,0.5289855072463768,0.6910479445866536,0.288970436220798,0.3401068694427503,0.5274964971788823,0.5287136294027561,0.9813273797442663,0.24562899786780384,0.7707317073170732,0.4698795180722892,0.4223027375201286,0.46825717751718543,,0.4402211629735457,0.4202356202356202,0.9839572192513371,0.39795918367346983,0.0,0.0,0.46832105072071445,0.4117528194124529,0.07153420951137138,0.10121212507245363,0.9496080627099666,0.44962984237365294,0.7848323642212051,0.5383492419988771,0.6742268041237117,0.9999999999999998,0.5286343612334803,0.6666666666666666,0.338235294117647,0.5899005005488444,0.254612819562801,0.2517230295315265,0.48557768844079074,0.6485933503836321,0.9807242990654206,0.28917339270804343,0.7833333333333334,0.5135135135135136,0.4747120681021524,0.4651928504233302,,0.4308427116855318,0.487025290386358,1.0,0.4500000000000002,,,0.4685589335536933,0.4170418537863694,0.08223997966034008,0.11851591597661847,0.8929577464788736,0.2470092623665128,0.609082668679062,0.414224527960427,0.7666666666666669,,0.5050505050505054
0.25,0.5434782608695653,0.6852468180448417,0.2584763283026669,0.33507964754046093,0.6230614512493223,0.4284073506891271,0.9703673635072052,0.4068230277185501,0.7414634146341463,0.4457831325301206,0.36030595813204574,0.45976546704407584,,0.6210877161086931,0.5020097020097021,0.48663101604278036,,0.0,0.0,0.6353415994721553,0.0,0.12519615915402732,0.2531255087788451,0.9451287793952967,0.4488440609202434,0.7905475880052152,0.5370808678500987,1.0,0.1561784612973196,0.6872246696035246,0.16666666666666666,0.3676470588235294,0.5754419508586577,0.21089292330492776,0.24528816123999686,0.5915379095720364,0.5145780051150903,0.968107476635514,0.4995825215697189,0.7500000000000001,0.4594594594594595,0.39759639459188817,0.4553151458137347,,0.6423649471370102,0.5842326386028504,0.47752808988764,,,,0.6358675933365366,,0.14463882610040568,0.2965995568506362,0.8816901408450704,0.24549313428106817,0.6203025732437497,0.41219992129083033,,0.14072220422044313,0.6868686868686874
0.75,0.5217391304347826,0.6696638272253801,0.27584246433739923,0.3348993639716338,0.6147517017041807,0.44869831546707506,0.992693322508626,0.3991471215351812,0.8341463414634147,0.5542168674698796,0.42954911433172305,0.47472705216336414,,0.19976734443040217,,,,0.0,0.037076515970332825,0.5295590920949649,0.0,0.13774117291307147,0.3106555849576982,0.948488241881299,0.4499284354366114,0.78954802259887,0.5401157981803144,0.1999999999999998,0.35942235908331255,0.634361233480176,0.8333333333333334,0.32352941176470584,0.5366033829596492,0.2357910337161912,0.2450573974020208,0.5823242505700192,0.5416879795396429,0.9938084112149532,0.48956303924297245,0.8555555555555556,0.7027027027027027,0.4837255883825734,0.4727187206020696,,0.14963356417064994,,,,,0.03659200519122031,0.5299026107637334,,0.159226339084035,0.36404039172461256,0.8901408450704229,0.2475853835346898,0.6183402653990889,0.41704434373056065,0.0,0.4747224282497903,0.6262626262626263
